STUDID,Sexe,Cycle,Grade,Programme,Premier_Trim,Dernier_Trim,Nb_trim_complete,Moyenne,ANNEE
10079692,M,2,Maitrise recherche,Génie civil,20091,20103,6,3.97,2010/11
10166661,M,1,Bac,Génie informatique,20091,20131,9,2.65,2012/13
10079742,M,2,Maitrise recherche,Génie civil,20092,20103,6,3.60,2010/11
10079742,M,3,Doctorat,Génie civil,20111,20143,12,3.60,2014/15
10166675,F,1,Bac,Génie chimique,20082,20133,11,2.28,2013/14
10166679,M,1,Bac,Génie industriel,20103,20151,8,2.58,2014/15
10079762,F,1,Bac,Génie chimique,20093,20143,9,2.37,2014/15
10166685,M,2,Maitrise recherche,Génie physique,20083,20103,7,3.91,2010/11
10079768,M,2,Maitrise recherche,Génie physique,20091,20112,8,3.38,2010/11
10166691,M,3,Doctorat,Génie informatique,20101,20132,11,3.90,2012/13
10079822,M,2,Maitrise recherche,Génie mécanique,20091,20103,6,3.60,2010/11
10166755,M,1,Bac,Génie électrique,20083,20123,8,2.13,2012/13
10166773,M,1,Bac,Génie civil,20083,20161,12,2.12,2015/16
10079858,M,2,Maitrise recherche,Mathématiques appliquées,20082,20111,8,3.36,2010/11
10079860,M,2,Maitrise professionn,Génie industriel,20102,20123,6,3.90,2012/13
10079878,M,2,Maitrise professionn,Génie industriel,20102,20103,5,3.37,2010/11
10166799,M,1,Certificat,Plasturgie : transformation et conception,20083,20122,7,3.30,2011/12
10079884,F,2,Maitrise professionn,Génie industriel,20083,20103,6,3.29,2010/11
10166807,M,1,Certificat,Technologies biomédicales - instr. électronique,20083,20103,5,2.40,2010/11
10079890,M,2,Maitrise professionn,Génie civil,20113,20123,5,3.84,2012/13
10079902,M,2,Maitrise recherche,Génie industriel,20091,20112,8,4.00,2010/11
10166845,M,3,Doctorat,Génie civil,20083,20143,19,3.56,2014/15
10166847,M,3,Doctorat,Génie nucléaire,20112,20142,10,4.00,2013/14
10079928,F,2,Maitrise recherche,Génie énergétique,20091,20111,7,3.74,2010/11
10166849,M,2,Maitrise recherche,Génie biomédical,20091,20112,8,3.90,2010/11
10079930,M,2,Maitrise recherche,Génie biomédical,20091,20112,8,3.75,2010/11
10079936,F,1,Bac,Génie chimique,20083,20123,8,3.83,2012/13
10166857,M,1,Bac,Génie chimique,20083,20131,8,3.81,2012/13
10166857,M,2,Maitrise recherche,Génie chimique,20133,20153,7,4.00,2015/16
10079958,F,1,Bac,Génie mécanique,20083,20171,14,2.20,2016/17
10079980,M,2,Maitrise recherche,Génie mécanique,20122,20122,5,3.56,2011/12
10166905,F,1,Certificat,Cyberenquête,20083,20113,8,2.45,2011/12
10079986,F,3,Doctorat,Génie nucléaire,20121,20173,16,3.59,2017/18
10079988,F,2,Maitrise recherche,Génie informatique,20091,20112,8,3.08,2010/11
10079990,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20102,20113,8,2.55,2011/12
10166925,M,1,Certificat,Techn. avancées en prévention des incendies,,20133,11,3.00,2013/14
10080010,M,1,Bac,Génie mécanique,20091,20141,11,2.44,2013/14
10080016,M,1,Bac,Génie industriel,20091,20141,9,2.21,2013/14
10080020,M,1,Bac,Génie civil,20093,20133,8,2.81,2013/14
10166957,M,2,Maitrise recherche,Génie biomédical,20093,20113,7,3.67,2011/12
10080074,M,2,Maitrise recherche,Génie mécanique,20091,20111,7,3.69,2010/11
10080076,M,2,Maitrise recherche,Génie industriel,20091,20103,6,3.56,2010/11
10080080,M,2,Maitrise recherche,Génie industriel,20091,20112,8,3.47,2010/11
10167007,M,1,Bac,Génie physique,20083,20121,9,3.90,2011/12
10167007,M,2,Maitrise recherche,Génie physique,20122,20143,8,4.00,2014/15
10167023,M,2,Maitrise recherche,Génie énergétique,20091,20112,8,4.00,2010/11
10080106,F,1,Bac,Génie chimique (coopératif),20083,20123,8,3.05,2012/13
10167027,M,1,Bac,Génie chimique,20083,20123,9,3.21,2012/13
10167027,M,2,Maitrise professionn,Génie chimique,20173,20191,5,3.60,2018/19
10167063,M,3,Doctorat,Génie industriel,20103,20172,21,4.00,2016/17
10080146,M,1,Certificat,Technologies biomédicales - instr. électronique,20083,20123,10,1.90,2012/13
10080148,M,1,Bac,Génie électrique,20083,20103,6,2.96,2010/11
10167085,F,1,Bac,Génie civil,20083,20153,11,2.23,2015/16
10167087,M,2,Maitrise recherche,Mathématiques appliquées,20101,20103,3,3.56,2010/11
10080184,F,1,Bac,Génie industriel,20083,20141,10,2.33,2013/14
10080190,F,2,Maitrise recherche,Génie industriel,20122,20132,4,4.00,2012/13
10167115,M,2,Maitrise recherche,Génie industriel,20091,20103,6,3.22,2010/11
10167117,M,2,Maitrise recherche,Génie civil,20091,20111,7,3.72,2010/11
10080198,M,2,Maitrise recherche,Génie industriel,20091,20103,6,3.66,2010/11
10080206,M,1,Certificat,Mécanique du bâtiment,20083,20111,6,2.55,2010/11
10080212,M,1,Certificat,Design et fabrication,20091,20121,7,2.40,2011/12
10080212,M,1,Certificat,Mécanique du bâtiment,20121,20173,8,2.65,2017/18
10167133,F,3,Doctorat,Génie minéral,20121,20162,14,4.00,2015/16
10080218,M,3,Doctorat,Génie biomédical,20091,20133,15,3.67,2013/14
10167141,F,1,Bac,Génie des mines (coopératif),20083,20122,8,2.65,2011/12
10167151,M,1,Certificat,Aéronautique,20083,20103,5,2.05,2010/11
10167157,F,2,Maitrise recherche,Génie chimique,20091,20103,6,3.80,2010/11
10080238,M,2,Maitrise recherche,Génie chimique,20091,20103,6,4.00,2010/11
10080240,M,2,Maitrise recherche,Génie civil,20112,20131,7,4.00,2012/13
10167171,M,2,Maitrise recherche,Génie mécanique,20091,20103,6,3.41,2010/11
10080254,F,1,Bac,Génie chimique,20083,20121,8,3.23,2011/12
10167175,M,1,Bac,Génie civil,20083,20141,11,3.55,2013/14
10167179,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20103,20113,7,3.20,2011/12
10167189,F,3,Doctorat,Génie mécanique,20093,20143,16,3.63,2014/15
10080272,M,3,Doctorat,Génie mécanique,20103,20142,12,3.53,2013/14
10080274,M,1,Bac,Génie civil,20092,20141,9,2.36,2013/14
10167211,M,2,Maitrise professionn,Génie industriel,20102,20112,6,3.90,2010/11
10080316,M,1,Bac,Génie aérospatial,20093,20121,8,3.40,2011/12
10080322,M,1,Bac,Génie civil,20083,20123,9,2.46,2012/13
10167243,M,1,Bac,Génie industriel,20083,20131,8,2.90,2012/13
10080328,M,1,Certificat,Aéronautique,20083,20103,5,4.00,2010/11
10167253,M,1,Certificat,Commande de procédés industriels,20083,20113,7,3.45,2011/12
10080344,M,2,Maitrise professionn,Génie civil,20101,20103,4,3.84,2010/11
10167265,M,2,Maitrise recherche,Génie biomédical,20091,20113,9,3.80,2011/12
10167267,M,2,Maitrise recherche,Génie chimique,20091,20112,8,3.24,2010/11
10080368,M,1,Bac,Génie mécanique,20083,20122,8,2.94,2011/12
10167293,M,1,Certificat,Aéronautique,20092,20133,9,2.35,2013/14
10167295,M,2,Maitrise recherche,Génie mécanique,20091,20103,6,3.78,2010/11
10167297,M,1,Bac,Génie chimique,20083,20121,8,3.85,2011/12
10167305,M,1,Bac,Génie des mines (coopératif),20083,20121,8,3.37,2011/12
10167313,M,1,Bac,Génie mécanique,20091,20143,10,2.35,2014/15
10167327,M,3,Doctorat,Génie biomédical,20091,20142,17,3.00,2013/14
10167331,M,1,Bac,Génie industriel,20083,20121,8,3.15,2011/12
10167333,M,1,Bac,Génie électrique,20123,20151,6,3.39,2014/15
10167343,M,1,Bac,Génie des mines (coopératif),20091,20122,8,3.30,2011/12
10167347,M,1,Bac,Génie informatique,20091,20181,12,2.33,2017/18
10167351,M,3,Doctorat,Génie chimique,20091,20133,15,4.00,2013/14
10167359,M,1,Bac,Génie mécanique,20091,20131,9,2.97,2012/13
10080440,F,3,Doctorat,Génie informatique,20122,20183,20,3.74,2018/19
10080440,F,2,Maitrise recherche,Génie informatique,20102,20121,4,3.82,2011/12
10167365,F,2,Maitrise recherche,Génie informatique,20093,20112,6,3.12,2010/11
10080446,M,2,Maitrise professionn,Génie civil,20173,20173,1,3.47,2017/18
10080452,M,2,Maitrise professionn,Génie industriel,20093,20111,4,3.43,2010/11
10080454,M,2,Maitrise recherche,Génie industriel,20091,20111,7,3.44,2010/11
10080456,M,2,Maitrise professionn,Génie industriel,20101,20103,3,3.53,2010/11
10080464,M,1,Bac,Génie industriel,20091,20131,9,2.43,2012/13
10167385,M,2,Maitrise professionn,Génie industriel,20101,20103,5,3.70,2010/11
10080466,M,2,Maitrise professionn,Génie industriel,20092,20111,6,3.67,2010/11
10080474,F,2,Maitrise professionn,Génie industriel,20111,20113,5,3.23,2011/12
10167407,M,1,Bac,Génie industriel,20083,20121,8,2.86,2011/12
10167423,F,1,Bac,Génie civil,20083,20121,8,3.71,2011/12
10080508,F,1,Bac,Génie civil,20093,20141,9,2.94,2013/14
10080508,F,2,Maitrise recherche,Génie civil,20153,20171,6,3.74,2016/17
10080510,F,3,Doctorat,Génie métallurgique,20111,20141,10,3.63,2013/14
10080510,F,2,Maitrise recherche,Génie métallurgique,20103,20103,2,3.74,2010/11
10167435,M,1,Certificat,Commande de procédés industriels,20083,20113,8,3.15,2011/12
10167435,M,1,Certificat,Aéronautique,20091,20121,7,3.05,2011/12
10080524,M,2,Maitrise recherche,Génie mécanique,20101,20112,6,3.81,2010/11
10080526,F,1,Bac,Génie électrique,20091,20141,9,2.68,2013/14
10167447,M,1,Bac,Génie industriel,20091,20123,7,3.55,2012/13
10167453,M,1,Bac,Génie électrique,20091,20131,9,2.75,2012/13
10080534,M,1,Bac,Génie civil,20091,20132,8,3.10,2012/13
10167455,M,1,Certificat,Aéronautique,20083,20103,6,2.90,2010/11
10080544,M,1,Bac,Génie mécanique,20083,20133,9,2.64,2013/14
10080564,M,1,Bac,Génie électrique,20083,20121,8,2.81,2011/12
10080574,F,1,Bac,Génie géologique (coopératif),20083,20113,8,3.66,2011/12
10080574,F,2,Maitrise recherche,Génie civil,20121,20153,12,3.85,2015/16
10167499,M,2,Maitrise recherche,Génie informatique,20092,20121,9,4.00,2011/12
10167499,M,3,Doctorat,Génie biomédical,20122,20162,13,3.83,2015/16
10080588,M,3,Doctorat,Génie mécanique,20111,20152,14,4.00,2014/15
10080588,M,2,Maitrise recherche,Génie mécanique,20091,20103,6,3.70,2010/11
10167513,M,3,Doctorat,Génie chimique,20091,20133,15,3.75,2013/14
10167517,M,1,Bac,Génie civil,20083,20121,8,2.15,2011/12
10080600,F,2,Maitrise recherche,Génie informatique,20123,20123,5,3.76,2012/13
10080612,F,1,Bac,Génie chimique,20093,20133,9,2.59,2013/14
10167533,M,1,Bac,Génie chimique,20083,20122,8,3.15,2011/12
10080614,M,1,Bac,Génie électrique,20093,20141,8,3.11,2013/14
10080624,M,1,Certificat,Cyberfraude,20111,20141,9,3.75,2013/14
10080624,M,1,Certificat,Cyberenquête,20083,20111,6,3.94,2010/11
10080624,M,1,Certificat,Cybersécurité des réseaux informatiques,20123,20153,7,3.90,2015/16
10167547,M,1,Bac,Génie mécanique,20091,20141,8,3.19,2013/14
10080640,M,3,Doctorat,Mathématiques,20083,20143,19,4.00,2014/15
10167565,F,2,Maitrise recherche,Génie industriel,20092,20132,13,3.91,2012/13
10167573,F,1,Bac,Génie civil,20091,20133,8,2.83,2013/14
10167583,M,2,Maitrise recherche,Génie civil,20111,20123,3,3.05,2012/13
10167587,F,3,Doctorat,Génie mécanique,20091,20132,14,3.79,2012/13
10167589,M,1,Bac,Génie mécanique,20091,20122,8,3.07,2011/12
10080670,F,1,Bac,Génie chimique,20091,20143,10,2.54,2014/15
10167593,M,3,Doctorat,Génie métallurgique,20092,20152,19,3.59,2014/15
10167595,M,2,Maitrise recherche,Génie biomédical,20093,20111,5,3.33,2010/11
10080686,F,2,Maitrise recherche,Génie métallurgique,20083,20111,8,3.34,2010/11
10080690,M,1,Bac,Génie des mines (coopératif),20091,20132,8,3.05,2012/13
10080694,M,3,Doctorat,Génie mécanique,20091,20131,13,3.79,2012/13
10080696,M,1,Bac,Génie électrique,20083,20111,6,2.98,2010/11
10167617,F,1,Bac,Génie chimique,20083,20121,8,3.62,2011/12
10167621,M,1,Bac,Génie électrique,20083,20161,13,2.22,2015/16
10080704,M,2,Maitrise recherche,Génie civil,20092,20103,5,3.38,2010/11
10080710,M,1,Certificat,Technologies biomédicales - instr. électronique,20092,20103,6,3.00,2010/11
10167631,F,1,Certificat,Cyberenquête,20083,20181,9,3.44,2017/18
10080712,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20083,20131,10,3.15,2012/13
10080728,M,1,Bac,Génie civil,20091,20152,10,2.01,2014/15
10167655,F,3,Doctorat,Génie chimique,20092,20142,16,3.97,2013/14
10080740,M,1,Bac,Génie civil,20091,20141,9,2.63,2013/14
10167663,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20083,20113,7,3.35,2011/12
10080758,M,1,Bac,Génie civil,20093,20193,11,2.11,2019/20
10167679,F,3,Doctorat,Génie industriel,20093,20162,20,3.17,2015/16
10080768,M,2,Maitrise professionn,Génie civil,20132,20132,1,3.87,2012/13
10167689,M,2,Maitrise professionn,Génie civil,20131,20131,1,3.70,2012/13
10080770,F,3,Doctorat,Génie chimique,20091,20151,19,3.10,2014/15
10080774,F,1,Bac,Génie civil,20083,20153,9,2.33,2015/16
10080776,M,1,Bac,Génie industriel,20093,20162,9,2.67,2015/16
10167697,M,1,Bac,Génie informatique,20091,20151,11,2.55,2014/15
10167701,M,2,Maitrise professionn,Génie informatique,20131,20133,4,3.50,2013/14
10167703,F,3,Doctorat,Génie civil,20092,20162,22,3.44,2015/16
10080784,F,1,Bac,Génie civil,20083,20152,13,2.04,2014/15
10167721,M,2,Maitrise professionn,Génie industriel,20091,20112,7,3.63,2010/11
10080806,M,1,Certificat,Cyberenquête,20083,20163,11,2.06,2016/17
10080832,M,1,Certificat,Technologies biomédicales - instr. électronique,20083,20121,8,2.95,2011/12
10080832,M,1,Certificat,Cybersécurité des réseaux informatiques,20123,20143,5,3.30,2014/15
10167761,M,1,Bac,Génie mécanique,20091,20141,10,3.10,2013/14
10080842,M,1,Bac,Génie électrique,20083,20123,11,2.72,2012/13
10080846,F,1,Bac,Génie chimique,20091,20151,10,2.42,2014/15
10167767,F,1,Bac,Génie chimique,20091,20143,10,2.50,2014/15
10167773,F,1,Bac,Génie informatique,20091,20123,8,2.33,2012/13
10167777,M,1,Bac,Génie industriel,20091,20131,9,2.74,2012/13
10167781,M,1,Bac,Génie chimique,20083,20151,11,2.32,2014/15
10167785,F,2,Maitrise recherche,Génie minéral,20092,20121,8,3.60,2011/12
10167791,M,1,Bac,Génie informatique,20101,20152,8,2.18,2014/15
10167793,M,1,Bac,Génie civil,20091,20132,9,2.87,2012/13
10080874,M,1,Bac,Génie civil,20091,20123,7,2.28,2012/13
10167795,M,3,Doctorat,Génie physique,20083,20122,12,4.00,2011/12
10167797,F,1,Bac,Génie civil,20091,20133,10,2.67,2013/14
10080878,M,1,Bac,Génie industriel,20091,20181,9,2.78,2017/18
10167803,M,1,Bac,Génie industriel,20091,20143,8,1.98,2014/15
10080884,F,1,Bac,Génie chimique,20091,20143,10,2.93,2014/15
10167805,F,1,Bac,Génie chimique,20091,20143,12,2.71,2014/15
10167813,M,1,Bac,Génie informatique,20091,20141,8,2.98,2013/14
10080896,M,2,Maitrise recherche,Génie électrique,20122,20123,6,3.82,2012/13
10080898,M,1,Bac,Génie mécanique,20101,20151,10,2.43,2014/15
10167819,M,2,Maitrise professionn,Génie civil,20132,20133,2,3.15,2013/14
10167819,M,1,Bac,Génie civil,20091,20121,7,2.70,2011/12
10167827,M,1,Bac,Génie logiciel,20091,20123,7,2.92,2012/13
10080920,F,1,Bac,Génie électrique,20091,20131,10,2.30,2012/13
10080934,M,2,Maitrise professionn,Génie aérospatial,20091,20103,6,3.36,2010/11
10080936,M,1,Certificat,Perfect. en ing. des dipl. en génie de l'étranger,20111,20113,3,2.57,2011/12
10167863,F,2,Maitrise recherche,Génie électrique,20103,20141,11,3.67,2013/14
10080944,M,3,Doctorat,Génie mécanique,20091,20132,14,3.72,2012/13
10080946,M,1,Bac,Génie informatique,20091,20161,9,2.65,2015/16
10167869,M,1,Certificat,Cybersécurité des réseaux informatiques,20181,20193,4,2.95,2019/20
10080954,F,1,Bac,Génie mécanique,20093,20142,9,2.79,2013/14
10080974,M,1,Bac,Génie civil,20091,20131,9,2.90,2012/13
10080982,M,1,Bac,Génie mécanique,20091,20131,10,2.36,2012/13
10080992,M,1,Bac,Génie mécanique,20091,20162,11,2.42,2015/16
10167919,M,3,Doctorat,Génie électrique,20092,20132,13,3.44,2012/13
10167923,M,3,Doctorat,Génie biomédical,20092,20143,17,3.97,2014/15
10081010,F,1,Bac,Génie civil,20093,20141,8,2.71,2013/14
10167933,F,1,Bac,Génie civil,20091,20141,9,2.65,2013/14
10081020,M,1,Certificat,Commande de procédés industriels,20101,20113,5,2.55,2011/12
10081020,M,1,Certificat,Électricité du bâtiment,20103,20141,7,2.05,2013/14
10081020,M,1,Certificat,Mécanique du bâtiment,20133,20151,4,2.30,2014/15
10167963,M,1,Bac,Génie informatique,20091,20141,9,2.33,2013/14
10167967,M,2,Maitrise recherche,Génie informatique,20101,20112,5,3.67,2010/11
10167977,F,1,Bac,Génie industriel,20093,20133,9,2.99,2013/14
10167981,M,1,Bac,Génie industriel,20091,20133,8,2.91,2013/14
10167985,M,2,Maitrise recherche,Génie civil,20152,20181,9,3.00,2017/18
10081066,M,1,Bac,Génie civil,20091,20141,9,2.79,2013/14
10167995,F,1,Bac,Génie des mines (coopératif),20091,20133,8,3.64,2013/14
10167995,F,2,Maitrise professionn,Génie industriel,20153,20163,4,3.67,2016/17
10081076,M,1,Bac,Génie civil,20091,20131,7,2.36,2012/13
10081082,M,1,Bac,Génie mécanique,20091,20131,9,2.32,2012/13
10168009,M,1,Bac,Génie électrique,20101,20143,9,2.85,2014/15
10081090,M,1,Bac,Génie mécanique,20091,20131,9,2.61,2012/13
10168011,M,1,Bac,Génie logiciel,20091,20131,9,3.89,2012/13
10081092,M,1,Bac,Génie mécanique,20091,20131,9,2.55,2012/13
10081094,M,2,Maitrise professionn,Génie mécanique,20141,20151,5,3.51,2014/15
10081094,M,1,Bac,Génie mécanique,20091,20131,9,2.69,2012/13
10168023,M,1,Bac,Génie physique,20091,20132,10,3.24,2012/13
10168023,M,2,Maitrise recherche,Génie physique,20161,20182,8,3.14,2017/18
10168025,M,1,Bac,Génie civil,20091,20153,11,2.61,2015/16
10081106,M,1,Bac,Génie mécanique,20091,20141,9,2.57,2013/14
10081118,F,1,Bac,Génie civil,20091,20131,9,2.07,2012/13
10168039,F,1,Bac,Génie civil,20093,20153,9,2.06,2015/16
10081120,F,1,Bac,Génie industriel,20091,20133,8,2.78,2013/14
10168043,M,1,Bac,Génie électrique,20091,20141,9,2.23,2013/14
10168045,M,2,Maitrise recherche,Génie civil,20092,20103,5,3.59,2010/11
10081126,M,2,Maitrise professionn,Génie industriel,20093,20112,7,3.10,2010/11
10168047,M,1,Bac,Génie des mines (coopératif),20091,20121,8,3.55,2011/12
10168049,M,1,Bac,Génie civil,20101,20141,10,2.59,2013/14
10081130,M,2,Maitrise recherche,Génie physique,20092,20103,4,4.00,2010/11
10081130,M,3,Doctorat,Génie physique,20111,20163,18,4.00,2016/17
10168051,M,1,Certificat,Perfect. en ing. des dipl. en génie de l'étranger,20092,20103,4,3.38,2010/11
10081134,F,1,Bac,Génie biomédical,20093,20141,8,2.76,2013/14
10168057,M,1,Bac,Génie mécanique,20091,20132,8,2.92,2012/13
10081142,M,3,Doctorat,Génie minéral,20093,20162,21,3.13,2015/16
10168063,F,1,Bac,Génie civil,20091,20151,10,2.08,2014/15
10168067,F,1,Bac,Génie chimique,20093,20133,9,2.58,2013/14
10081148,M,1,Bac,Génie chimique,20091,20143,13,2.35,2014/15
10081150,F,2,Maitrise recherche,Génie industriel,20103,20113,5,3.06,2011/12
10168073,M,3,Doctorat,Génie chimique,20091,20143,18,3.73,2014/15
10168079,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20093,20123,7,3.50,2012/13
10168081,M,1,Bac,Génie civil,20093,20133,9,2.95,2013/14
10081170,F,3,Doctorat,Mathématiques,20091,20133,15,3.72,2013/14
10168095,M,1,Bac,Génie civil,20091,20131,9,2.68,2012/13
10081176,M,1,Bac,Génie civil,20091,20141,10,2.86,2013/14
10168099,M,1,Bac,Génie aérospatial,20093,20123,9,3.92,2012/13
10081188,M,2,Maitrise professionn,Génie mécanique,20102,20113,6,3.00,2011/12
10168113,M,2,Maitrise professionn,Génie industriel,20092,20111,6,3.30,2010/11
10081202,M,1,Bac,Génie des mines (coopératif),20091,20132,9,2.55,2012/13
10168123,F,1,Bac,Génie civil,20091,20133,9,2.80,2013/14
10168127,F,1,Bac,Génie mécanique,20091,20143,11,2.58,2014/15
10081208,M,1,Bac,Génie logiciel,20091,20141,12,2.65,2013/14
10081218,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20133,8,3.20,2013/14
10168151,M,1,Bac,Génie mécanique,20091,20131,7,2.88,2012/13
10081248,M,1,Certificat,Perfect. en ing. des dipl. en génie de l'étranger,20091,20123,5,2.11,2012/13
10168173,M,1,Bac,Génie civil,20091,20131,9,2.11,2012/13
10168175,M,1,Bac,Génie civil,20093,20142,12,3.55,2013/14
10081256,M,1,Bac,Génie électrique,20091,20133,9,3.13,2013/14
10081262,M,1,Bac,Génie mécanique,20091,20131,8,3.82,2012/13
10081264,M,1,Bac,Génie mécanique,20091,20131,8,3.40,2012/13
10081264,M,2,Maitrise professionn,Génie mécanique,20141,20151,4,3.60,2014/15
10081266,M,2,Maitrise professionn,Génie civil,20151,20161,3,3.30,2015/16
10081266,M,1,Bac,Génie civil,20093,20143,10,2.87,2014/15
10168187,M,1,Bac,Génie civil,20091,20133,10,3.23,2013/14
10081268,M,1,Bac,Génie industriel,20091,20131,9,3.12,2012/13
10168189,M,2,Maitrise recherche,Génie civil,20141,20162,8,4.00,2015/16
10168189,M,1,Bac,Génie civil,20091,20131,9,3.58,2012/13
10168191,M,1,Bac,Génie mécanique,20091,20131,9,2.85,2012/13
10168193,M,1,Bac,Génie géologique (coopératif),20091,20131,9,3.56,2012/13
10168195,M,2,Maitrise recherche,Génie électrique,20091,20122,11,4.00,2011/12
10081280,M,1,Certificat,Design et fabrication,20153,20181,6,3.75,2017/18
10081286,F,1,Certificat,Perfect. en ing. des dipl. en génie de l'étranger,20091,20111,5,2.03,2010/11
10168209,M,1,Certificat,Mécanique du bâtiment,20121,20133,3,2.56,2013/14
10081316,M,1,Bac,Génie mécanique,20091,20141,10,2.95,2013/14
10081320,M,1,Bac,Génie électrique,20091,20141,10,2.63,2013/14
10168241,M,1,Bac,Génie informatique,20091,20141,10,2.17,2013/14
10168243,M,1,Bac,Génie mécanique,20091,20131,10,3.28,2012/13
10081326,M,1,Bac,Génie civil,20093,20142,11,2.05,2013/14
10168249,F,1,Bac,Génie mécanique,20091,20143,10,2.64,2014/15
10168269,F,1,Bac,Génie civil,20093,20133,9,2.79,2013/14
10081350,M,1,Bac,Génie mécanique,20091,20133,10,2.44,2013/14
10168271,F,2,Maitrise professionn,Génie civil,20153,20171,6,3.73,2016/17
10081352,M,1,Bac,Génie civil,20091,20133,11,3.01,2013/14
10168273,M,1,Bac,Génie géologique (coopératif),20091,20131,9,3.47,2012/13
10081354,M,1,Certificat,Technologies biomédicales - instr. électronique,20133,20161,6,1.77,2015/16
10081358,M,1,Bac,Génie électrique,20091,20131,7,2.74,2012/13
10168283,F,2,Maitrise professionn,Génie biomédical,20153,20171,5,3.76,2016/17
10168287,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20123,8,2.44,2012/13
10168291,M,1,Bac,Génie civil,20093,20142,9,2.34,2013/14
10168299,M,2,Maitrise professionn,Génie civil,20161,20161,1,3.63,2015/16
10168301,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20131,10,3.65,2012/13
10081386,M,1,Certificat,Aéronautique,20091,20123,8,2.15,2012/13
10168311,M,1,Bac,Génie électrique,20091,20141,9,2.97,2013/14
10168313,M,1,Bac,Génie mécanique,20091,20141,10,2.90,2013/14
10081396,M,1,Bac,Génie électrique,20093,20141,11,2.87,2013/14
10168319,M,2,Maitrise professionn,Génie industriel,20091,20111,7,3.87,2010/11
10081400,M,1,Certificat,Aéronautique,20091,20121,8,2.95,2011/12
10081416,M,2,Maitrise recherche,Génie industriel,20143,20152,3,3.78,2014/15
10081416,M,1,Bac,Génie des mines (coopératif),20091,20133,9,2.65,2013/14
10081424,M,1,Bac,Génie mécanique,20091,20133,10,2.89,2013/14
10168345,M,1,Bac,Génie chimique,20091,20131,9,3.32,2012/13
10168345,M,2,Maitrise recherche,Génie chimique,20133,20153,7,3.65,2015/16
10081426,M,1,Bac,Génie civil,20091,20133,10,2.41,2013/14
10168349,M,1,Bac,Génie géologique (coopératif),20091,20142,12,2.30,2013/14
10081434,M,1,Bac,Génie mécanique,20091,20141,11,2.58,2013/14
10168355,M,2,Maitrise recherche,Génie mécanique,20113,20133,7,4.00,2013/14
10168355,M,1,Bac,Génie mécanique,20091,20112,6,3.94,2010/11
10081436,F,1,Bac,Génie civil,20091,20133,10,2.30,2013/14
10168359,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20121,8,3.63,2011/12
10081442,M,1,Bac,Génie mécanique,20091,20122,8,2.65,2011/12
10081444,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20173,11,2.75,2017/18
10168367,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20151,9,3.10,2014/15
10168375,F,2,Maitrise recherche,Génie minéral,20083,20123,11,3.00,2012/13
10081456,M,1,Bac,Génie électrique,20091,20131,8,3.51,2012/13
10168377,M,1,Bac,Génie informatique,20091,20131,9,2.72,2012/13
10168379,M,1,Bac,Génie civil,20091,20131,9,3.02,2012/13
10168383,M,1,Bac,Génie informatique,20091,20141,10,2.42,2013/14
10081464,M,1,Bac,Génie mécanique,20091,20141,10,2.26,2013/14
10168385,M,1,Bac,Génie mécanique,20091,20123,9,2.89,2012/13
10081466,M,1,Bac,Génie civil,20091,20131,9,3.12,2012/13
10168387,F,1,Bac,Génie chimique,20091,20143,11,3.03,2014/15
10081470,M,1,Bac,Génie géologique (coopératif),20091,20142,11,2.57,2013/14
10081474,M,1,Bac,Génie civil,20091,20141,10,2.23,2013/14
10168397,M,1,Bac,Génie électrique,20091,20121,8,2.71,2011/12
10081478,M,1,Bac,Génie mécanique,20091,20133,10,2.45,2013/14
10168407,M,1,Bac,Génie civil,20091,20133,8,2.75,2013/14
10081488,M,1,Bac,Génie mécanique,20091,20131,9,3.29,2012/13
10081490,M,1,Bac,Génie informatique,20091,20131,9,2.76,2012/13
10168411,M,1,Bac,Génie logiciel,20093,20161,13,2.41,2015/16
10081494,M,1,Bac,Génie mécanique,20091,20133,8,2.86,2013/14
10168419,F,1,Bac,Génie civil,20091,20131,9,2.69,2012/13
10081500,M,1,Bac,Génie civil,20091,20131,9,2.84,2012/13
10168421,M,1,Bac,Génie électrique,20091,20133,10,2.63,2013/14
10081510,F,1,Certificat,Cyberenquête,20091,20111,5,3.90,2010/11
10168431,F,1,Certificat,Cyberenquête,20091,20111,5,3.90,2010/11
10168441,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20131,10,3.75,2012/13
10081522,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20131,10,3.60,2012/13
10081526,M,1,Bac,Génie civil,20091,20141,10,2.70,2013/14
10168449,F,1,Certificat,Cyberenquête,20091,20131,6,3.31,2012/13
